State, Starting Salary
Alabama,"38491"
Alaska,"46954"
Arizona,"34473"
Arkansas,"33323"
California,"46992"
Colorado,"33483"
Connecticut,"45922"
Delaware,"41639"
District of Columbia,"55209"
Florida,"37636"
Georgia,"35474"
Hawaii,"46790"
Idaho,"34801"
Illinois,"39236"
Indiana,"35943"
Iowa,"37048"
Kansas,"35769"
Kentucky,"36752"
Louisiana,"40303"
Maine,"34788"
Maryland,"45147"
Massachusetts,"45498"
Michigan,"36599"
Minnesota,"38529"
Mississippi,"34784"
Missouri,"32226"
Montana,"31418"
Nebraska,"34465"
Nevada,"39054"
New Hampshire,"37395"
New Jersey,"51443"
New Mexico,"36405"
New York,"45589"
North Carolina,"37631"
North Dakota,"38611"
Ohio,"35923"
Oklahoma,"32010"
Oregon,"36319"
Pennsylvania,"44647"
Rhode Island,"41689"
South Carolina,"33148"
South Dakota,"38098"
Tennessee,"37305"
Texas,"41481"
Utah,"38499"
Vermont,"38499"
Virginia,"40453"
Washington,"42240"
West Virginia,"33715"
Wisconsin,"38181"
Wyoming,"45241"
